ISBN,Title,Author,Description,Unformatted Tags,Formatted Tags,Language
9781338304442.0,7 ate 9: the untold story,tara lazar,nan,"['daily tasks/activities/routines', 'detective story', 'critical thinking/problem-solving']","[['culture', 'similarities', 'differences'], ['language:word play'], ['multiple meanings:multiple meanings'], ['family:time']]",english
9780689848872.0,a band of angels,deboran hopkinson,"based on the life of ella sheppard moore, this glowing picture book tells
the story of a determined and resilient singing group with a lasting
legacy. a loving narrator shares the story of her great-grandmother ella
with her niece. ella, the daughter of a slave, and the jubilee singers
traveled all over the world singing the old sorrow songs, the songs of
slavery. their hard work raised funds to keep their college open and pave
the way for thousands of students. this luminous, lyrical story is a
poignant reminder that the old spirituals, or jubilee songs, stood for hope
and freedom.",[],nan,no language given
9781534110465.0,a boy like you,frank murphy,"encourages every boy to embrace all of the things that make him unique, and
to be curious, brave, kind, thoughtful, and more.","['help others', 'caring for the environment']","[['fear'], ['social', 'cooperation'], ['self-acceptance'], ['self-identity'], ['uniqueness:uniqueness'], ['culture:values'], ['multiple aspects of identity:multiple aspects of identity'], ['bravery:bravery'], ['social:kindness'], ['dream big/following dreams:dream big/following dreams'], ['manners:manners'], ['inner strength:inner strength'], ['masculinity:masculinity'], ['emotions:curiosity'], ['emotions:empathy'], ['knowledge:knowledge']]",english
9780316435178.0,a computer called katherine,suzanne slade,"the inspiring true story of mathematician katherine johnson--made famous by
the award-winning film hidden figures--who counted and computed her way to
nasa and helped put a man on the moon! katherine knew it was wrong that
african americans didn't have the same rights as others--as wrong as
5+5=12. she knew it was wrong that people thought women could only be
teachers or nurses--as wrong as 10-5=3. and she proved everyone wrong by
zooming ahead of her classmates, starting college at fifteen, and
eventually joining nasa, where her calculations helped pioneer america's
first manned flight into space, its first manned orbit of earth, and the
world's first trip to the moon! award-winning author suzanne slade and
debut artist veronica miller jamison tell the story of a nasa ""computer"" in
this smartly written, charmingly illustrated biography.",[],"[['social', 'finding your place', 'standing up for yourself and others'], ['cognition', 'critical thinking', 'problem-solving'], ['female empowerment:female empowerment'], ['social:belonging'], ['emotions:curiosity'], ['math:basic math'], ['language:alliteration'], ['perception:motion perception']]",english
9781534111127.0,a friend like you,julia hubery,"""there's nothing in the world like a wonderful friend. friends are there to
laugh with you and ready with a hug when you need one. adventure friends
and study friends. there are forever friends and brand new friends. in this
book, celebrate all the marvelous ways to be a friend!""--",['help others'],"[['social', 'friendship', 'connection'], ['interconnected habitat'], ['seasons:seasons'], ['patience:patience'], ['language:communication']]",no language given
9781534110960.0,a girl like you,frank murphy & carla murphy,"encourages every girl to embrace all of the things that make her unique, to
be strong and kind, to stand up for herself, and more.",['help others'],"[['gender', 'roles'], ['social', 'speaking up for yourself and others'], ['self-acceptance'], ['self-expression'], ['self-identity'], ['uniqueness:uniqueness'], ['culture:values'], ['multiple aspects of identity:multiple aspects of identity'], ['social:kindness'], ['dream big/following dreams:dream big/following dreams'], ['manners:manners'], ['inner strength:inner strength'], ['resilience:resilience'], ['social:friendship'], ['inner beauty:inner beauty'], ['outer beauty:outer beauty'], ['culture:pride']]",english
9780062877727.0,a hundred thousand welcomes,mary lee donovan,"welcome, come in! you are invited to travel to homes around the world in
this beautifully illustrated picture book about hospitality and acceptance,
which features the word ""welcome"" from more than fourteen languages. fans
of here we are and the wonderful things you will be will enjoy this
timeless story about family, friendship, empathy, and welcoming others.
welcome, friend. welcome. there are almost as many ways of making someone
feel welcome as there are people on our planet. to welcome another is to
give that person and yourself a chance at a new connection, a new
friendship, and maybe even new eyes through which to view the world.
journey around the globe as a hundred thousand welcomes introduces the word
for ""welcome"" in fourteen languages to illuminate a universal message of
hope and acceptance. mary lee donovan's spare text is brought to life by
lian cho's boisterous, richly detailed illustrations. includes a
pronunciation guide, a note from the artist, a note from the author, and
information about the languages featured in the book.",[],"[['culture', 'customs', 'foods', 'similarities'], ['family', 'activities', 'time'], ['racial diversity'], ['ethnic diversity'], ['religious diversity'], ['(dis)ability', 'diversity'], ['language', 'rhyming'], ['multilingual text'], ['perception', 'light', 'proximity'], ['social', 'inclusivity', 'sharing'], ['celebration:celebration'], ['community:community'], ['language:word learning'], ['perception:motion'], ['social:friendship']]","english, indonesian, arabic, spanish, castilian, mandarin, japanese, bengali, german, hindi, urdu, lakota sioux, bashkir//bashkort, gaelic/irish, hebrew, xhosa, swahili, korean, maori, uyghur, asl"
9781250215994.0,a is for awesome: 23 iconic women who changed the world,eva chen,"instagram superstar eva chen is back with an alphabet board book depicting
25 feminist icons.why stick with plain old a b c when you can have amelia
(earhart), beyonce, nina (simone), ruth (bader ginsburg) - all the way to
extraordinary you and the zillions of adventures you will go on! instagram
superstar and author of juno valentine and the magical shoes eva chen
shines a spotlight on 25 amazing women in this sassy and fun alphabet board
book, perfect for the youngest of budding feminists.with derek desierto's
bold and vibrant art - and an actual mirror on the you page - eva fans and
readers of all ages will be transported through history.",[],nan,english
9780064440851.0,a picture for harold's room,crockett johnson,"harold needs a picture for his bedroom wall. so he takes his purple crayon
and begins to create a whole new world around him. but then he notices he
has gotten very small-half the size of a daisy! only a very clever artist
can find his way home now.",[],nan,english
9780892392742.0,a place where sunflowers grow,amy lee-tai,"bilingual english/japanese. a young girl finds things to be joyful about in
the topaz internment camp.",[],nan,no language given
