Title,Author,Source,Language(s),Classes Where this could be useful,Topics Covered,Comments,Comments by Audrey,class activity ideas,How frequently identified/used,Comments by Ashley,,Comments by Sydney
7 ate 9: the untold story,Tara Lazar,Librarian recommendation,English,Psycholinguistics,"word games, cultural similarities/differences, daily activities/routines","word games, multiple meanings, detective story/problem to solve, sense of time passing",,,,,,
a band of angels,deboran hopkinson,,,,,,,,,,,
A boy like you,Frank Murphy,Downtowne Book shop,English,"Developmental, Psychology of Gender, Intro Psych","uniqueness, self-acceptance, values, self-identity, multiple aspects of identity, fear, bravery, kindness, dream big, help others, manners, inner strength, masculinity",,,,,,,"Cooperation, curiosity, overcoming fear, different ways to be a boy, caring for the environment, empathy, knowledge"
A Computer Called Katherine,Suzanne Slade,,English,,"female empowerment, racial and sexual discrimination/equality; finding your place/belonging; standing up for yourself; asking questions/critical thinking; basic math equations; alliteration; motion perception; ",,,,,,,
a friend like you,julia hubery,,,,,,,,,,,
A girl like you,Frank Murphy & Carla Murphy,Downtowne Book shop,English,"Developmental, Psychology of Gender, Intro Psych","uniqueness, self-acceptance, values, self-identity, multiple aspects of identity, kindness, dream big, help others, manners, inner strength, gender roles, resilience, speaking up for yourself and others, friendship, inner and outer beauty, being comfortable in your own skin, self-expression, pride",,,,,,,
A Hundred thousand welcomes,Mary Lee Donovan,,"English, Indonesian, Arabic, Spanish, Castilian, Mandarin, Japanese, Bengali, German, Hindi, Urdu, Lakota Sioux, Bashkir//Bashkort, Gaelic/Irish, Hebrew, Xhosa, Swahili, Korean, Maori, Uyghur, ASL","Psycholinguistics, Developmental, Social","Diversity, inclusion, welcome, multilingual, rhyming, culture, customs, celebration, motion, similarity, proximity, generations, family, friends, light, sharing, food",,,,,,,
A is for awesome: 23 iconic women who changed the world,Eva Chen,Random find,English,,Female empowerment,,,,,,,
A picture for Harold's room,Crockett Johnson,Random find,English,,"Creative thinking, relative size, Ponzo illusion, motion perception, scene perception",An I CAN READ book,,,,,,
a place where sunflowers grow,amy lee-tai,,,,,,,,,,,
A spoonful of frogs,Casey Lyall,Barnes & Noble,English,"Perception, Psycholinguistics","motion perception, emotions, frustration, flexibility, determination, creative thinking, verbs",lots of descriptions of what to do with the frogs to get them on the spoon,,,,,,
A teacher like you,Frank Murphy & Barbara Dan,Downtowne Book shop,English,,"diversity (racial, religious, (dis)ability), embracing differences, kindness, inspiring children/students, celebrating teachers and how they make a difference in their students' lives",could be a wonderful gift for teachers,,,,,,
Abuelita and I make flan,Adrianna Hernandez Bergstrum,Librarian recommendation,"Spanish, English",Psycholinguistics,"word learning, family, problem solving, unconditional love, code-switching","mix of english and spanish, spanish glossary and pronunciation guide, word learning",,,,,,
Abuelita's Heart,Amy Córdova,Random pick,"Spanish, English",Psycholinguistics,", code-switching",word learning in two languages (provides Spanish and English translations),,,,,,
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,Classic,English,,,,,,,,,"Conflict, daily activities/routines, anger, frusteration, managing of emotions, regulation of emotions, family dynamics, family interactions, repetitive phrases, selfishness, sibling relationships"
All are neighbors,Alexandra Penfold,Random find,English,,"rhyming, community, diversity, repetitive phrases, community places/spaces, taking care of shared space, taking care of people","keep repeating ""it's a place for you and me."" ""we all are neighbors here"". Keep reinforcing that everyone is welcome                                                     Rhyme scheme is a little weird (local rhymes, but not always across longer sets of sentences)",,,,,,"Community support, belonging, kindness, (dis)ability diversity, home"
All my stripes,Shaina Rudolph and Danielle Royer,Thriftbooks,English,,"Autism, self acceptance, color, (dis)ability, motion, self-concept, pride, anxiety, being different, sensory processing challenges, socio-communicative challenges, literal and concrete thinking style, individual strengths",,,,,,,
"Always with you, always with me",Kelly Rowland and Jessica McKay,Random pick,English,"Psycholinguistics, Developmental","work/family juggling, family love","repeated mantra = saying I love you, sense of passing time, 2-job household and making it work w/extended fam, diverse main character, family spending time together however they can, mom working non-traditional job? separation anxiety, secure attachment, object permanence",,,,,,
amazing you,gail saltz,,,,,,a bit outdated,,,,,
amelia and eleanor go for a ride,pam munoz-ryan,,,,,,,,,,,
