Title,Author,Tags,final tags from column D
7 ate 9: the untold story,Tara Lazar,"['Word play','daily tasks/activities/routines','multiple meanings','detective story','critical thinking/problem-solving','time']","culture:similarities,culture:differences"
a band of angels,deboran hopkinson,[],
A boy like you,Frank Murphy,"['uniqueness','values','multiple aspects of identity','bravery','kindness','dream big/following dreams','help others','manners','inner strength','masculinity','curiosity','caring for the environment','empathy','knowledge']","fear,social:cooperation,self-acceptance,self-identity"
A Computer Called Katherine,Suzanne Slade,"['female empowerment','belonging','curiosity','basic math','alliteration','motion perception']","social:finding your place,social:standing up for yourself and others,cognition:critical thinking,cognition:problem-solving"
a friend like you,julia hubery,"['seasons','patience','help others','communication']","social:friendship,social:connection,interconnected habitat"
A girl like you,Frank Murphy & Carla Murphy,"['uniqueness','values','multiple aspects of identity','kindness','dream big/following dreams','help others','manners','inner strength','resilience','friendship','inner beauty','outer beauty','pride']","gender:roles,social:speaking up for yourself and others,self-acceptance,self-expression,self-identity"
A Hundred thousand welcomes,Mary Lee Donovan,"['Celebration','Community','word learning','motion','friendship']","culture:customs,culture:foods,culture:similarities,family:activities,family:time,racial diversity,ethnic diversity,religious diversity,(dis)ability:diversity,language:rhyming,multilingual text,perception:light,perception:proximity,social:inclusivity,social:sharing"
A is for awesome: 23 iconic women who changed the world,Eva Chen,['Female empowerment'],
A picture for Harold's room,Crockett Johnson,"['Creative thinking/solutions','relative size','Ponzo illusion','motion perception','scene perception']",
a place where sunflowers grow,amy lee-tai,[],
A spoonful of frogs,Casey Lyall,"['motion perception','frustration','determination','creative thinking/solutions']","adaptation,language:verbs,language:repetition"
A teacher like you,Frank Murphy & Barbara Dan,"['embracing differences','kindness','inspiring children/students',""teachers’ impact on students' lives""]","racial diversity,religious diversity,(dis)ability:diversity"
Abuelita and I make flan,Adrianna Hernandez Bergstrum,"['word learning','critical thinking/problem-solving','unconditional love']","multilingual text:Spanish and English,multilingual text:code-switching,family,language:glossary,language:pronunciation guide"
Abuelita's Heart,Amy Córdova,['word learning'],"multilingual text:Spanish and English,multilingual text:code-switching"
"Alexander and the Terrible,Horrible,No Good,Very Bad Day",Judith Viorst,"['Conflict','daily tasks/activities/routines','anger','frustration','repetitive phrases','selfishness','sibling relationships']","emotions:emotional regulation,emotions:managing emotions,family:dynamics,family:interactions"
All are neighbors,Alexandra Penfold,"['rhyming','community','diversity','repetitive phrases','taking care of shared space','taking care of people','repetition','inclusivity','alternative rhyme scheme','community support','belonging','kindness','home']","(dis)ability:diversity,community,"
All my stripes,Shaina Rudolph and Danielle Royer,"['color','(dis)ability','motion','pride','anxiety/fear','being different','sensory processing challenges','literal and concrete thinking style','individual strengths','sadness','identity']","(dis)ability:autism,socio communicative challenges,family:parent-child relationships,self-acceptance,self-concept,self-love"
"Always with you,always with me",Kelly Rowland and Jessica McKay,"['repetitive phrases','time','diverse main character','separation anxiety','attachment/secure attachment','object permanence']","family:love,family:extended,women in nontraditional jobs        "
amazing you,gail saltz,"['curiosity','introduces new concept','growth','time','pride']","body:image,body:parts,self-acceptance,self-love"
amelia and eleanor go for a ride,pam munoz-ryan,[],
amelia bedelia,peggy parrish,"['challenges in a new place','creativity','daily tasks/activities/routines','anger','frustration','optimism','food','humor','imagination',""it's okay to make mistakes"",'word play','patience']",cognition:reasoning and decision making skills
Bear can't sleep,Karma Wilson,"['rhyming','sleep','friendship','critical thinking/problem-solving','creative thinking/solutions']",
Bear Snores On,Karma Wilson,"['Rhyming','alliteration','friendship','empathy','feeling left out','cooperation/working together','repetition','introduces new concept','seasons','party','inclusivity']","social:connection,social:sharing"
Being you: a first conversation about gender,"Megan Madison,Jessica Ralli and Anne/Andy Passchier","['assignment','stereotypes','pronouns','feminism','patriarchy','empowerment','activism','identity','identity expression','glossary/pronunciation guide']","body:parts,gender:identity,gender:binary,gender:expression"
Beyond the Gender Binary,Alok Vaid-Menon,[],
Blueberries For Sal,Robert McCloskey,"['daily tasks/activities/routines','anxiety/fear','parents protecting children','food','repetitive phrases','sound effects','seasonal activities']",
Boom baby boom boom,Margaret Mahy,"['rhythmic phrases','repetitive phrases','cause and effect']",
Brayden speaks up,Brayden Harrington,[],
Bright Star,Yuyi Morales,"['immigration','color','texture','motion perception','anxiety/fear','vision','hearing','imagination','borders']","multilingual text:code-switching,emotions:emotional regulation"
Bruce's big move,Ryan T. Higgins,"['similarity','emotions','friendship','home','moving']",family:found
bubbie and rivka's best ever challah (so far),sarah lynne reul,"['patience','creative thinking/solutions','sound effects','word learning','perseverance','determination','optimism']","culture:foods,family:generations,multilingual text:code-switching,multilingual text:Yiddish,family:time"
Calvin,JR and Vanessa Ford,"['Transgender child','identity','unconditional love','anxiety/fear','motion perception','foreground/background','includes additional resources','acceptance','support','identity expression']","racial diversity,ethnic diversity,(dis)ability:diversity,emotions:emotional regulation,gender:identity,gender:transition,gender:transgender,self-concept"
Caps For Sale,Esphyr Slobodkina,[],
catching the moon-the story of a young girls baseball dream,crystal hubbard,[],
Chicka Chicka Boom Boom,Bill Martin Jr & John Archambault,"['rhyming','upper vs. lowercase letters','alliteration','adjectives']","language:repetition,cognition:cause and effect,language:learning the alphabet"
click clack moo cows that type,doreen cronin,"['anthropomorphizing','animal sounds','humor','speaking up/standing up for yourself and others','anger','frustration','critical thinking/problem-solving','cooperation/working together','creative thinking/solutions','cause and effect']",
Cloudy With a Chance of Meatballs,Judi Barrett,[],
counting in dog years and other sassy math poems,betsy franco,"['word play','time','identity','math','descriptive','anthropomorphizing','shapes','numbers']","perception:Gestalt principles,family,perception:similarity"
Curious George: My favorite things,Margret and H. A. Rey,"['daily tasks/activities/routines','rhyming']",
Curious George's First Day of School,H. A. Rey,"['Cooperation/working together','help others','cause and effect','challenges in a new place','daily tasks/activities/routines','empathy','curiosity','sadness','first day of school',""it's okay to make mistakes"",'starting school','taking care of shared space']",
Daddy & Dada,Ryan Brockington & Isaac Webster,"['sibling relationships','gay marriage','acceptance','love']","racial diversity,ethnic diversity,(dis)ability:diversity,family:generations,family:activities,family:parent-child relationships,family:structures"
dear primo: a letter to my cousin,duncan tonatiuh,"['word learning','visual/contextual word learning']"," multilingual text:Spanish and English,multilingual text:code-switching"
"Dim sum,here we come",Maple Lam,"['manners','patience']","culture:customs,culture:foods,family:activities,family:time,social:sharing,family:traditions,meaning,social:taking turns "
Do your ears hang low?,Jenny Cooper,"['Rhyming','texture','emotions','motion','includes additional resources']","rhythm,contrast"
Don't hug Doug (he doesn't like it),Carrie Finison,"['individual differences','personal space','rhyming']","body:bodily autonomy,body:consent"
Don't hug the quokka,Daniel Errico,"['multiple types of communication','parental guide']","body:bodily autonomy,body:consent,body:language,body:gestures"
Dream snow,Eric Carle,"['Naming','matching']",language:word object associations
Dreamers,Yuyi Morales,"['immigration','challenges in a new place','power of knowledge/books','resilience','word learning','library']","culture,storytelling"
Duck and goose: Goose needs a hug,Tad Hills,"['Emotions','listening','texture gradient','foreground/background']",
Ella the elegant elephant,Carmela & Steven D'amico,"['starting at a new school','anxiety/fear','making friends','bullying','being yourself','help others','personal style','finding your place']","social:withdrawn rejected child category,self-expression"
"Ernest,the moose who doesn't fit",Catherine Rayner,"['Imagination','determination','silly sounds','humor','object permanence','creative thinking/solutions']",
every last bubble must pop,jason carter eaton,"['Motion perception','adventure','verbs','determination','time','friendship','changing light','loneliness','persistence','curiosity','resilience','communication']","cognition:critical thinking,cognition:problem-solving,perception:motion,competition"
Everybody cooks rice,Norah Dooley,"['similarities','differences','word learning']",culture:foods
Eyes that kiss in the corners,Joanna Ho,"['diversity','identity','motion','Gestalt principles','texture gradient','relative size','love','repetition','imagination','outer beauty']","family:generations,language:descriptive,culture:identity,culture:history,family:relationships,self-acceptance,self-love"
Fancy Nancy,Jane O'Connor,"['identity','motion perception','daily tasks/activities/routines','love','embarrassment','personal style','uniqueness','sophisticated vocabulary','socialization','developing positive relationships with others','creativity','kindness','word learning']","family:activities,family:time,language:repetition,family:parent-child relationships,language:development,support,family:caring for each other,egocentrism,preoperational stage,self-concept,self-confidence,self-expression,self-identity,self-love"
Fighting For Yes,Maryann Cocca-Leffler,"['Determination','cooperation/working together','discrimination','community support','Americans With Disabilities Act']","cognition:critical thinking,cognition:problem-solving,advocacy"
Firebird,Misty Copeland,"['motion perception','similes','time','practice','diversity']","self-acceptance,self-confidence"
