ISBN,Title,Author,Description,Unformatted Tags,Formatted Tags
9781338304442,7 ate 9: the untold story,Tara Lazar,,"['daily tasks/activities/routines', 'detective story', 'critical thinking/problem-solving']","[['culture', 'similarities', 'differences'], ['language:Word play'], ['multiple meanings:multiple meanings'], ['family:time']]"
9780689848872,a band of angels,deboran hopkinson,"Based on the life of Ella Sheppard Moore, this glowing picture book tells
the story of a determined and resilient singing group with a lasting
legacy. A loving narrator shares the story of her great-grandmother Ella
with her niece. Ella, the daughter of a slave, and the Jubilee Singers
traveled all over the world singing the old sorrow songs, the songs of
slavery. Their hard work raised funds to keep their college open and pave
the way for thousands of students. This luminous, lyrical story is a
poignant reminder that the old spirituals, or jubilee songs, stood for hope
and freedom.",[],
9781534110465,A boy like you,Frank Murphy,"Encourages every boy to embrace all of the things that make him unique, and
to be curious, brave, kind, thoughtful, and more.","['help others', 'caring for the environment']","[['fear'], ['social', 'cooperation'], ['self-acceptance'], ['self-identity'], ['uniqueness:uniqueness'], ['culture:values'], ['multiple aspects of identity:multiple aspects of identity'], ['bravery:bravery'], ['social:kindness'], ['dream big/following dreams:dream big/following dreams'], ['manners:manners'], ['inner strength:inner strength'], ['masculinity:masculinity'], ['emotions:curiosity'], ['emotions:empathy'], ['knowledge:knowledge']]"
9780316435178,A Computer Called Katherine,Suzanne Slade,"The inspiring true story of mathematician Katherine Johnson--made famous by
the award-winning film Hidden Figures--who counted and computed her way to
NASA and helped put a man on the moon! Katherine knew it was wrong that
African Americans didn't have the same rights as others--as wrong as
5+5=12. She knew it was wrong that people thought women could only be
teachers or nurses--as wrong as 10-5=3. And she proved everyone wrong by
zooming ahead of her classmates, starting college at fifteen, and
eventually joining NASA, where her calculations helped pioneer America's
first manned flight into space, its first manned orbit of Earth, and the
world's first trip to the moon! Award-winning author Suzanne Slade and
debut artist Veronica Miller Jamison tell the story of a NASA ""computer"" in
this smartly written, charmingly illustrated biography.",[],"[['social', 'finding your place', 'standing up for yourself and others'], ['cognition', 'critical thinking', 'problem-solving'], ['female empowerment:female empowerment'], ['social:belonging'], ['emotions:curiosity'], ['math:basic math'], ['language:alliteration'], ['perception:motion perception']]"
9781534111127,a friend like you,julia hubery,"""There's nothing in the world like a wonderful friend. Friends are there to
laugh with you and ready with a hug when you need one. Adventure friends
and study friends. There are forever friends and brand new friends. In this
book, celebrate ALL the marvelous ways to be a friend!""--",['help others'],"[['social', 'friendship', 'connection'], ['interconnected habitat'], ['seasons:seasons'], ['patience:patience'], ['language:communication']]"
9781534110960,A girl like you,Frank Murphy & Carla Murphy,"Encourages every girl to embrace all of the things that make her unique, to
be strong and kind, to stand up for herself, and more.",['help others'],"[['gender', 'roles'], ['social', 'speaking up for yourself and others'], ['self-acceptance'], ['self-expression'], ['self-identity'], ['uniqueness:uniqueness'], ['culture:values'], ['multiple aspects of identity:multiple aspects of identity'], ['social:kindness'], ['dream big/following dreams:dream big/following dreams'], ['manners:manners'], ['inner strength:inner strength'], ['resilience:resilience'], ['social:friendship'], ['inner beauty:inner beauty'], ['outer beauty:outer beauty'], ['culture:pride']]"
9780062877727,A Hundred thousand welcomes,Mary Lee Donovan,"Welcome, come in! You are invited to travel to homes around the world in
this beautifully illustrated picture book about hospitality and acceptance,
which features the word ""welcome"" from more than fourteen languages. Fans
of Here We Are and The Wonderful Things You Will Be will enjoy this
timeless story about family, friendship, empathy, and welcoming others.
Welcome, friend. Welcome. There are almost as many ways of making someone
feel welcome as there are people on our planet. To welcome another is to
give that person and yourself a chance at a new connection, a new
friendship, and maybe even new eyes through which to view the world.
Journey around the globe as A Hundred Thousand Welcomes introduces the word
for ""welcome"" in fourteen languages to illuminate a universal message of
hope and acceptance. Mary Lee Donovan's spare text is brought to life by
Lian Cho's boisterous, richly detailed illustrations. Includes a
pronunciation guide, a note from the artist, a note from the author, and
information about the languages featured in the book.",[],"[['culture', 'customs', 'foods', 'similarities'], ['family', 'activities', 'time'], ['racial diversity'], ['ethnic diversity'], ['religious diversity'], ['(dis)ability', 'diversity'], ['language', 'rhyming'], ['multilingual text'], ['perception', 'light', 'proximity'], ['social', 'inclusivity', 'sharing'], ['celebration:Celebration'], ['community:Community'], ['language:word learning'], ['perception:motion'], ['social:friendship']]"
9781250215994,A is for awesome: 23 iconic women who changed the world,Eva Chen,"Instagram superstar Eva Chen is back with an alphabet board book depicting
25 feminist icons.Why stick with plain old A B C when you can have Amelia
(Earhart), Beyonce, Nina (Simone), Ruth (Bader Ginsburg) - all the way to
EXtraordinary YOU and the Zillions of adventures you will go on! Instagram
superstar and author of Juno Valentine and the Magical Shoes Eva Chen
shines a spotlight on 25 amazing women in this sassy and fun alphabet board
book, perfect for the youngest of budding feminists.With Derek Desierto's
bold and vibrant art - and an actual mirror on the YOU page - Eva fans and
readers of all ages will be transported through history.",[],
9780064440851,A picture for Harold's room,Crockett Johnson,"Harold needs a picture for his bedroom wall. So he takes his purple crayon
and begins to create a whole new world around him. But then he notices he
has gotten very small-half the size of a daisy! Only a very clever artist
can find his way home now.",[],
9780892392742,a place where sunflowers grow,amy lee-tai,"Bilingual English/Japanese. A young girl finds things to be joyful about in
the Topaz Internment Camp.",[],
9780062890290,A spoonful of frogs,Casey Lyall,"Frogs are the most important ingredient in a witch's favorite treat--but
they are also the hardest to get into the cauldron! From acclaimed author
Casey Lyall and Caldecott Honor artist Vera Brosgol, A Spoonful of Frogs is
a humorous and wholly original picture book--and a winning recipe for
readers who loved Dragons Love Tacos and Room on the Broom. A witch's
favorite treat is frog soup. Luckily, it's healthy and easy to make. To
give it that extra kick and a pop of color, the key ingredient is a
spoonful of frogs. But how do you keep the frogs on the spoon? They hop,
they leap, they hide . . . and they escape. What is a poor witch to do?
Casey Lyall is a master of comedic timing with her deceptively simple and
energetic text, and Caldecott Honor winnerVera Brosgol's vibrant, hilarious
illustrations make the witch--and the frogs!--practically leap off the
page. The solution to the witch's dilemma will surprise and delight young
readers and their parents alike. Teeming with laugher and hijinks, A
Spoonful of Frogs is pure fun from beginning to end. A must-have for young
readers, parents, witches, frog-lovers, and aspiring chefs.",['determination'],"[['adaptation'], ['language', 'verbs', 'repetition'], ['perception:motion perception'], ['emotions:frustration'], ['cognition:creative thinking/solutions']]"
