ISBN,Title,Author,Description,Unformatted Tags,Formatted Tags
123456789,7 ate 9: the untold story,Tara Lazar,desc(isbn_from_words(bookList[i][0])),"['daily tasks/activities/routines', 'detective story', 'critical thinking/problem-solving']","[['culture', 'similarities', 'differences'], ['language:Word play'], ['multiple meanings:multiple meanings'], ['family:time']]"
123456789,a band of angels,deboran hopkinson,desc(isbn_from_words(bookList[i][0])),[],
123456789,A boy like you,Frank Murphy,desc(isbn_from_words(bookList[i][0])),"['help others', 'caring for the environment']","[['fear'], ['social', 'cooperation'], ['self-acceptance'], ['self-identity'], ['uniqueness:uniqueness'], ['culture:values'], ['multiple aspects of identity:multiple aspects of identity'], ['bravery:bravery'], ['social:kindness'], ['dream big/following dreams:dream big/following dreams'], ['manners:manners'], ['inner strength:inner strength'], ['masculinity:masculinity'], ['emotions:curiosity'], ['emotions:empathy'], ['knowledge:knowledge']]"
123456789,A Computer Called Katherine,Suzanne Slade,desc(isbn_from_words(bookList[i][0])),[],"[['social', 'finding your place', 'standing up for yourself and others'], ['cognition', 'critical thinking', 'problem-solving'], ['female empowerment:female empowerment'], ['social:belonging'], ['emotions:curiosity'], ['math:basic math'], ['language:alliteration'], ['perception:motion perception']]"
123456789,a friend like you,julia hubery,desc(isbn_from_words(bookList[i][0])),['help others'],"[['social', 'friendship', 'connection'], ['interconnected habitat'], ['seasons:seasons'], ['patience:patience'], ['language:communication']]"
123456789,A girl like you,Frank Murphy & Carla Murphy,desc(isbn_from_words(bookList[i][0])),['help others'],"[['gender', 'roles'], ['social', 'speaking up for yourself and others'], ['self-acceptance'], ['self-expression'], ['self-identity'], ['uniqueness:uniqueness'], ['culture:values'], ['multiple aspects of identity:multiple aspects of identity'], ['social:kindness'], ['dream big/following dreams:dream big/following dreams'], ['manners:manners'], ['inner strength:inner strength'], ['resilience:resilience'], ['social:friendship'], ['inner beauty:inner beauty'], ['outer beauty:outer beauty'], ['culture:pride']]"
123456789,A Hundred thousand welcomes,Mary Lee Donovan,desc(isbn_from_words(bookList[i][0])),[],"[['culture', 'customs', 'foods', 'similarities'], ['family', 'activities', 'time'], ['racial diversity'], ['ethnic diversity'], ['religious diversity'], ['(dis)ability', 'diversity'], ['language', 'rhyming'], ['multilingual text'], ['perception', 'light', 'proximity'], ['social', 'inclusivity', 'sharing'], ['celebration:Celebration'], ['community:Community'], ['language:word learning'], ['perception:motion'], ['social:friendship']]"
123456789,A is for awesome: 23 iconic women who changed the world,Eva Chen,desc(isbn_from_words(bookList[i][0])),[],
123456789,A picture for Harold's room,Crockett Johnson,desc(isbn_from_words(bookList[i][0])),[],
123456789,a place where sunflowers grow,amy lee-tai,desc(isbn_from_words(bookList[i][0])),[],
123456789,A spoonful of frogs,Casey Lyall,desc(isbn_from_words(bookList[i][0])),['determination'],"[['adaptation'], ['language', 'verbs', 'repetition'], ['perception:motion perception'], ['emotions:frustration'], ['cognition:creative thinking/solutions']]"
123456789,A teacher like you,Frank Murphy & Barbara Dan,desc(isbn_from_words(bookList[i][0])),[],"[['racial diversity'], ['religious diversity'], ['(dis)ability', 'diversity'], ['different:embracing differences'], ['social:kindness'], ['inspiring children/students:inspiring children/students'], [""teachers’ impact on students' lives:teachers’ impact on students' lives""]]"
123456789,Abuelita and I make flan,Adrianna Hernandez Bergstrum,desc(isbn_from_words(bookList[i][0])),['critical thinking/problem-solving'],"[['multilingual text', 'Spanish and English', 'code-switching'], ['family'], ['language', 'glossary', 'pronunciation guide'], ['language:word learning'], ['social:unconditional love']]"
123456789,Abuelita's Heart,Amy Córdova,desc(isbn_from_words(bookList[i][0])),[],"[['multilingual text', 'Spanish and English', 'code-switching'], ['language:word learning']]"
123456789,"Alexander and the Terrible,Horrible,No Good,Very Bad Day",Judith Viorst,desc(isbn_from_words(bookList[i][0])),"['daily tasks/activities/routines', 'repetitive phrases']","[['emotions', 'emotional regulation', 'managing emotions'], ['family', 'dynamics', 'interactions'], ['conflict:Conflict'], ['emotions:anger'], ['emotions:frustration'], ['selfishness:selfishness'], ['family:sibling relationships']]"
123456789,All are neighbors,Alexandra Penfold,desc(isbn_from_words(bookList[i][0])),['repetitive phrases'],"[['(dis)ability', 'diversity'], ['community'], [''], ['language:rhyming'], ['community:community'], ['(dis)ability:diversity'], ['taking care of shared space:taking care of shared space'], ['social:taking care of people'], ['language:repetition'], ['social:inclusivity'], ['language:alternative rhyme scheme'], ['community support:community support'], ['social:belonging'], ['social:kindness'], ['home:home']]"
123456789,All my stripes,Shaina Rudolph and Danielle Royer,desc(isbn_from_words(bookList[i][0])),['anxiety/fear'],"[['(dis)ability', 'autism'], ['socio communicative challenges'], ['family', 'parent-child relationships'], ['self-acceptance'], ['self-concept'], ['self-love'], ['perception:color'], ['(dis)ability:(dis)ability'], ['perception:motion'], ['culture:pride'], ['different:being different'], ['sensory processing challenges:sensory processing challenges'], ['literal and concrete thinking style:literal and concrete thinking style'], ['individual strengths:individual strengths'], ['emotions:sadness'], ['culture:identity']]"
123456789,"Always with you,always with me",Kelly Rowland and Jessica McKay,desc(isbn_from_words(bookList[i][0])),['repetitive phrases'],"[['family', 'love', 'extended'], ['women in nontraditional jobs'], ['family:time'], ['diverse main character:diverse main character'], ['emotions:separation anxiety'], ['social:attachment/secure attachment'], ['object permanence:object permanence']]"
123456789,amazing you,gail saltz,desc(isbn_from_words(bookList[i][0])),[],"[['body', 'image', 'parts'], ['self-acceptance'], ['self-love'], ['emotions:curiosity'], ['introduces new concept:introduces new concept'], ['growth:growth'], ['family:time'], ['culture:pride']]"
123456789,amelia and eleanor go for a ride,pam munoz-ryan,desc(isbn_from_words(bookList[i][0])),[],
123456789,amelia bedelia,peggy parrish,desc(isbn_from_words(bookList[i][0])),['daily tasks/activities/routines'],"[['cognition', 'reasoning and decision making skills'], ['challenges in a new place:challenges in a new place'], ['creativity:creativity'], ['emotions:anger'], ['emotions:frustration'], ['emotions:optimism'], ['food:food'], ['humor:humor'], ['imagination:imagination'], [""it's okay to make mistakes:it's okay to make mistakes""], ['language:word play'], ['patience:patience']]"
123456789,Bear can't sleep,Karma Wilson,desc(isbn_from_words(bookList[i][0])),['critical thinking/problem-solving'],
