ISBN,Title,Author,Tags,Null-Tags,final tags from column D,
1123456789101,7 ate 9: the untold story,Tara Lazar, , ,"culture:similarities, culture:differences",
1123456789101,a band of angels,deboran hopkinson, , ,"unknown tags, unknown tags, !@#$%^&*()_+,<>?:""{}|[]",
1123456789101,A boy like you,Frank Murphy, , ,"fear, social:cooperation, self-acceptance, self-identity",
1123456789101,A Computer Called Katherine,Suzanne Slade, , ,"social:finding your place, social:standing up for yourself and others, cognition:critical thinking, cognition:problem-solving",
1123456789101,a friend like you,julia hubery, , ,"social:friendship, social:connection, interconnected habitat",
1123456789101,A girl like you,Frank Murphy & Carla Murphy, , ,"gender:roles, social:speaking up for yourself and others, self-acceptance, self-expression, self-identity",
1123456789101,A Hundred thousand welcomes,Mary Lee Donovan, , ,"culture:customs, culture:foods, culture:similarities, family:activities, family:time, racial diversity, ethnic diversity, religious diversity, (dis)ability:diversity, language:rhyming, multilingual text, perception:light, perception:proximity, social:inclusivity, social:sharing",
1123456789101,A spoonful of frogs,Casey Lyall, , ,"adaptation, language:verbs, language:repetition",
1123456789101,A teacher like you,Frank Murphy & Barbara Dan, , ,"racial diversity, religious diversity, (dis)ability:diversity",
1123456789101,Abuelita and I make flan,Adrianna Hernandez Bergstrum, ,,"multilingual text:Spanish and English, multilingual text:code-switching, family, language:glossary, language:pronunciation guide",
