Title,Author,Language(s),Classes Where this could be useful,Topics Covered,Comments,class activity ideas,,
7 ate 9: the untold story,Tara Lazar,English,Psycholinguistics,"Word play, cultural similarities/differences, daily tasks/activities/routines, multiple meanings, detective story, critical thinking/problem solving, time",,,,-1
a band of angels,deboran hopkinson,,,0,,,,
A boy like you,Frank Murphy,English,"Developmental, Psychology of Gender, Intro Psych","uniqueness, self-acceptance, values, self-identity, multiple aspects of identity, fear, bravery, kindness, dream big/following dreams, help others, manners, inner strength, masculinity, cooperation, curiosity, different ways to be a boy, caring for the environment, empathy, knowledge",,,,
A Computer Called Katherine,Suzanne Slade,English,,"female empowerment, racial and sexual discrimination/equality; finding your place, belonging, standing up for yourself, critical thinking, curiosity, basic math, alliteration, motion perception",,,,
a friend like you,julia hubery,,,"seasons, patience, social (friendship, help others, communication, connection),  interconnected habitat",,,,
A girl like you,Frank Murphy & Carla Murphy,English,"Developmental, Psychology of Gender, Intro Psych","uniqueness, self-acceptance, values, self-identity, multiple aspects of identity, kindness, dream big/following dreams, help others, manners, inner strength, gender roles, resilience, speaking up for yourself and others, friendship, inner beauty, outer beauty, self-expression, pride",,,,
A Hundred thousand welcomes,Mary Lee Donovan,"English, Indonesian, Arabic, Spanish, Castilian, Mandarin, Japanese, Bengali, German, Hindi, Urdu, Lakota Sioux, Bashkir//Bashkort, Gaelic/Irish, Hebrew, Xhosa, Swahili, Korean, Maori, Uyghur, ASL","Psycholinguistics, Developmental, Social","Celebration, Community, culture (customs, foods, similarities), diversity (racial/ethnic/religious, (dis)ability) generations, family activities, family time, language (rhyming, word learning, multilingual), perception (light, motion, proximity), social (inclusivity, friendship, giving/sharing)",,,,
A is for awesome: 23 iconic women who changed the world,Eva Chen,English,,Female empowerment,,,,
A picture for Harold's room,Crockett Johnson,English,Perception,"Creative thinking/solutions, relative size, Ponzo illusion, motion perception, scene perception, an I CAN READ book",,,,
a place where sunflowers grow,amy lee-tai,,,0,,,,
A spoonful of frogs,Casey Lyall,English,"Perception, Psycholinguistics","motion perception, frustration, flexibility, determination, creative thinking/solutions, language (verbs, repetition)",,,,
A teacher like you,Frank Murphy & Barbara Dan,English,,"diversity (racial, religious, (dis)ability), embracing differences, kindness, inspiring children/students, teachers’ impact on students' lives",,,,
Abuelita and I make flan,Adrianna Hernandez Bergstrum,"Spanish, English",Psycholinguistics,"word learning, family, critical thinking/problem solving, unconditional love, code-switching, multilingual text (Spanish and English), glossary/ pronunciation guide",,,,
Abuelita's Heart,Amy Córdova,"Spanish, English",Psycholinguistics,"code-switching, word learning, multilingual text (Spanish and English)",,,,
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,English,,"Conflict, daily tasks/activities/routines, anger, frustration, managing of emotions, emotion regulation, family dynamics, family interactions, repetitive phrases, selfishness, sibling relationships",,,,
All are neighbors,Alexandra Penfold,English,,"rhyming, community, diversity, repetitive phrases, community places/spaces, taking care of shared space, taking care of people, repetition, inclusivity, alternative rhyme scheme, community support, belonging, kindness, (dis)ability diversity, home",,,,
All my stripes,Shaina Rudolph and Danielle Royer,English,,"Autism, self-acceptance/appreciation, color, (dis)ability, motion, self-concept, pride, anxiety/fear, being different, sensory processing challenges, socio-communicative challenges, literal and concrete thinking style, individual strengths, sadness, self-love, identity, parent-child relationships",,,,
"Always with you, always with me",Kelly Rowland and Jessica McKay,English,"Psycholinguistics, Developmental","work/family juggling, family love, repetitive phrases, time, extended family, diverse main character, mother in non-traditional job, separation anxiety, attachment/secure attachment, object permanence",,,,
amazing you,gail saltz,,,"Body image, body parts, curiosity, introduces new concept, growth, time, pride, self acceptance/appreciation, self-love",a bit outdated,,,
amelia and eleanor go for a ride,pam munoz-ryan,,,0,,,,
amelia bedelia,peggy parrish,,,"challenges in a new place, creativity, daily tasks/activities/routines, anger, frustration, optimism, food, humor, imagination, it's okay to make mistakes, word play, patience, reasoning and decision making skills",,,,
Bear can't sleep,Karma Wilson,English,,"rhyming, sleep, friendship, critical thinking/problem solving, creative thinking/solutions",,,,
Bear Snores On,Karma Wilson,English,,"Rhyming, alliteration, friendship, sharing, empathy, feeling left out, cooperation/working together, repetition, introduces new concept, seasons, party, inclusivity, social connection",,,,
Being you: a first conversation about gender,"Megan Madison, Jessica Ralli and Anne/Andy Passchier",English ,"Developmental, Psychology of Gender","Body parts, gender (identity, assignment, binary, stereotypes, pronouns, expression), feminism, patriarchy, empowerment, activism, identity, identity expression, glossary/pronunciation guide",,,,
Beyond the Gender Binary,Alok Vaid-Menon,English,,0,,,,
Blueberries For Sal,Robert McCloskey,English,,"daily tasks/activities/routines, anxiety/fear, parent-child relationships in various species, parents protecting children, food, repetitive phrases, sound effects, seasonal activities",,,,
Boom baby boom boom,Margaret Mahy,English,,"rhythmic phrases, repetitive phrases, sensory exploration, cause and effect",,,,
Brayden speaks up,Brayden Harrington,English,,0,,,,
Bright Star,Yuyi Morales,"English, Spanish","Developmental, Perception, Psycholinguistics, Social Psychology","Code-switching, immigration, color, texture, family, motion perception, anxiety/fear, emotion regulation, vision, hearing, imagination, borders",,,,
Bruce's big move,Ryan T. Higgins,English,"Developmental, Intro Psych, Perception","family, found family, similarity, emotions, friendship, home, moving",,,,
bubbie and rivka's best ever challah (so far),sarah lynne reul,"English, Yiddish",,"patience, multilingual text (code-switching, Yiddish), creative thinking/solutions, sound effects, word learning, perseverance, family activities, family relationships, family time, family generations, determination, optimism, cultural foods",,,,
